Routing Name,COUNTRY ,From PostCode,To PostCode,service type,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
kiran,Albania,UB35zx,SW15xz,PR,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Algeria,SW15xz,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,American Samoa,UB35zx,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,
kiran,Andorra,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX
kiran,Angola,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2
kiran,Anguilla,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Antarctica,UB35zx,SW15xz,PR,TP2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiran,Antigua and Barbuda,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2
kiran,Argentina,UB35zx,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2
kiran,Armenia,SW15xz,SW15xz,PR,TP2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiran,Aruba,UB35zx,SW15xz,PR,TP2,TP2,TP2,3HS,TP2,3HS,TP2,TP2,3HS,3HS,TP2,TP2,TP2,TP2,3HS,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX
kiran,Australia,SW15xz,SW15xz,PR,TP2S,TP2S,TP2S,TP2S,TP2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX
kiran,Austria,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX
kiran,Azerbaijan,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX
kiran,Bahamas,UB35zx,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX
kiran,Bahrain,SW15xz,SW15xz,PR,3HS,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
