Account,Date,Order Ref No.,Tracking Number,MAWB,Status,Carrier,Service Name,Collection City,Collection Country,Collection Postcode,City,Country,Postcode,Number of Pieces,Weight,Vol Weight,Basic Charge,Fuel Charge,Additional Charge,Remote Area Charge,NDX,DDP,H/V,Extra,Ancillary Charges,Ancillary Charges Detail,Total Charges,Length,Width,Height,
ZIGZAG,2018-12-03,="0312201802",="0312201802",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-06,="0612201802",="0612201802",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-04,="0412201801",="0412201801",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-06,="0712201801",="0712201801",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-10,="1012201801",="1012201801",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-11,="1112201801",="1112201801",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-12,="1212201801",="1212201801",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-05,="0512201802",="0512201802",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-13,="1312201801",="1312201801",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
ZIGZAG,2018-12-14,="1412201801",="1412201801",,OUTBOUND,One World,OWE UK ROUTING,,,,Derbyshire,UNITED KINGDOM,NG20 8RY,1,10.000,0.000,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,null,380,,,,
, , ,  ,, ,  , , ,,,,,TOTAL:,10,100,,3800,0,0,0,0,0,0,0,0,,3800
